new_repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
8216,19,0,0,0,6,6
23689,6,0,0,0,1,0
11113,453,0,322,616,406,182
10076,0,0,0,0,0,2
469,0,0,0,0,0,0
24253,288,0,52,52,78,0
18515,28,0,20,56,4,4
23727,32,0,0,0,87,24
3361,0,0,0,0,0,0
12180,95,0,54,162,234,414
13853,128,0,288,1004,24,16
10048,12,0,70,140,28,70
17420,0,0,0,0,0,0
19427,17,0,30,72,26,30
11900,47,0,9,24,0,0
12552,0,0,3,12,0,0
17129,10,0,10,28,10,8
20748,184,0,0,30,0,0
14202,0,0,0,6,0,0
15578,3,0,0,0,0,0
18049,0,0,0,0,0,0
19670,35,0,36,42,15,9
5120,0,0,0,0,0,0
5100,0,0,0,0,0,0
21593,19,0,9,3,21,0
12333,1,0,0,0,0,0
2165,0,0,0,0,0,0
4540,0,0,0,0,0,0
14230,0,0,1,0,0,0
21453,10,0,2,6,6,2
9391,41,0,26,90,22,14
8610,140,0,112,20,188,76
14491,61,0,0,0,0,0
13439,565,0,360,768,0,0
21849,240,0,7,63,147,77
23475,164,0,0,0,198,99
4932,0,0,0,0,0,0
1960,0,0,0,0,0,0
12225,84,0,24,102,63,6
11629,3,0,6,8,1,6
4487,0,0,0,0,0,0
12994,0,0,2,0,8,14
5214,0,0,0,0,0,0
23966,25,0,102,51,0,0
2123,0,0,0,0,0,0
2834,0,0,0,0,0,0
11905,42,0,81,180,117,315
7113,659,0,0,0,0,0
15322,80,0,1056,2970,1914,3498
23740,4,0,4,0,0,0
13989,46,0,15,45,12,12
6364,0,0,0,0,0,0
15609,0,0,0,0,0,0
2557,0,0,0,0,0,0
19586,0,0,1,0,0,0
10626,1,0,0,2,2,0
17166,84,18,36,102,78,6
8669,24,0,54,108,0,0
7546,33,0,48,112,10,14
1100,0,0,0,0,0,0
7453,0,0,0,0,0,0
15001,11,0,16,76,16,60
13715,1029,0,0,0,480,840
9908,10,0,2,2,0,0
4007,0,0,0,0,0,0
24528,16,0,6,3,0,0
1610,0,0,0,0,0,0
14896,1,0,0,4,0,0
22086,0,0,0,0,0,0
2411,0,0,0,0,0,0
21384,1,0,0,0,3,1
12919,87,0,0,104,0,0
4022,0,0,0,0,0,0
5063,0,0,0,0,0,0
12862,20,0,2,4,2,4
1725,0,0,0,0,0,0
14826,0,0,0,6,3,6
20718,0,0,0,0,0,0
18678,13,0,2,2,2,6
8575,0,0,0,8,0,0
15929,17,0,0,0,0,0
9363,0,0,4,18,0,16
18046,482,0,52,130,0,0
760,0,0,0,0,0,0
4346,0,0,0,0,0,0
286,0,0,0,0,0,0
18719,6,0,0,6,4,0
3937,0,0,0,0,0,0
22586,2,0,2,0,8,14
2057,0,0,0,0,0,0
1062,0,0,0,0,0,0
21689,101,0,16,32,200,200
2253,0,0,0,0,0,0
15596,2,0,1,0,1,0
17540,112,0,11,264,264,1375
20302,21,0,4,0,36,32
7602,17,0,4,6,1,1
6150,0,0,0,0,0,0
6406,0,0,0,0,0,0
22706,0,0,0,0,0,0
14766,46,0,0,0,62,4
11717,8,0,3,12,6,18
10671,61,0,25,50,0,0
5812,0,0,0,0,0,0
10354,4,0,12,20,4,12
7637,1,0,0,0,0,0
24460,19,0,0,10,0,0
14463,19,0,5,18,8,12
2873,0,0,0,0,0,0
10022,0,0,24,33,0,0
24417,4,0,2,12,2,0
22712,381,0,0,0,72,54
15411,29,0,8,26,8,20
8234,0,0,1,0,1,0
13793,10,0,0,15,35,40
5939,0,0,0,0,0,0
19740,0,0,0,5,0,0
16037,61,0,4,4,4,2
22686,2,0,0,6,2,2
8353,0,0,8,10,10,6
21305,32,0,4,2,4,18
15004,43,0,99,154,165,132
5819,0,0,0,0,0,0
10412,33,0,24,40,32,54
14929,18,0,26,78,8,10
12669,2,0,12,12,6,0
4693,0,0,0,0,0,0
8102,3128,2366,0,2730,8190,4004
23307,0,0,0,0,0,0
8846,43,0,18,36,38,18
24492,10,0,12,6,6,0
3841,0,0,0,0,0,0
588,0,0,0,0,0,0
2766,0,0,0,0,0,0
17595,0,0,0,0,0,0
19063,7,0,0,0,0,0
