new_repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
17215,253,0,0,0,0,0
1188,0,0,0,0,0,0
16343,0,0,0,2,0,0
19942,14,0,14,14,7,21
8860,5,0,1,1,4,2
20521,308,0,120,248,32,48
12273,0,0,0,0,0,0
2883,0,0,0,0,0,0
6546,0,0,0,0,0,0
13369,0,0,0,0,0,0
5201,0,0,0,0,0,0
17550,11,0,0,0,12,36
15821,0,0,8,0,0,0
16205,92,0,12,4,4,4
24955,1109,152,0,456,0,38
24666,14,0,6,0,6,0
10188,22,0,12,28,12,4
22429,163,0,12,24,132,18
15380,98,0,0,0,0,0
3842,0,0,0,0,0,0
16925,52,0,0,0,0,0
2635,0,0,0,0,0,0
6042,0,0,0,0,0,0
15392,0,0,0,0,0,0
4343,0,0,0,0,0,0
23161,0,0,0,0,0,0
13784,5,0,14,14,28,7
24757,2,0,2,0,0,0
7571,24,0,42,426,0,0
182,0,0,0,0,0,0
22652,33,0,0,64,0,0
7654,5,0,35,110,0,0
24185,2,0,0,0,0,0
22495,4,0,0,0,4,4
20465,8,0,6,10,6,4
4840,0,0,0,0,0,0
14925,13,0,16,52,4,0
20029,2,0,1,2,3,1
21199,2,0,2,2,2,1
19921,0,0,0,0,0,0
9808,16,0,0,0,6,30
12379,8,0,4,6,4,26
19483,0,0,1,2,0,0
7218,35,5,25,80,25,40
19,0,0,0,0,0,0
1786,0,0,0,0,0,0
19125,1,0,0,0,6,18
20448,622,0,0,0,0,0
11590,15,0,0,2,1,3
18072,0,0,0,0,0,0
18259,11,0,0,0,0,0
4033,0,0,0,0,0,0
646,0,0,0,0,0,0
18410,2,0,4,5,3,1
14189,5,0,7,10,3,28
2402,0,0,0,0,0,0
21721,138,0,0,0,0,0
16397,33,0,18,20,24,20
555,0,0,0,0,0,0
10988,0,0,12,15,9,0
24284,78,0,12,6,14,0
20311,8,0,3,0,0,0
3227,0,0,0,0,0,0
24469,0,0,0,0,0,0
11349,0,0,1,0,0,0
24690,23,0,52,172,12,8
20163,42,0,0,0,0,0
10950,8,0,15,48,18,45
7658,3,0,1,3,2,2
13243,0,0,4,1,0,0
22414,663,0,114,1121,0,19
220,0,0,0,0,0,0
17628,0,0,0,0,0,0
24858,0,0,1,0,0,0
19462,84,0,30,18,162,312
653,0,0,0,0,0,0
24488,0,0,0,0,0,0
6928,0,0,0,0,0,0
357,0,0,0,0,0,0
20995,34,0,0,0,21,14
11890,2,0,1,6,2,0
18423,2,0,8,0,4,0
4168,0,0,0,0,0,0
17183,24,0,16,40,8,12
1571,0,0,0,0,0,0
1334,0,0,0,0,0,0
738,0,0,0,0,0,0
10434,1,0,0,0,0,0
3463,0,0,0,0,0,0
1861,0,0,0,0,0,0
15987,79,0,8,12,88,108
10986,0,0,9,12,0,0
14466,0,1,1,0,0,0
7648,29,0,20,66,2,0
18724,1,0,18,39,9,3
20408,10,0,0,0,1,2
6222,0,0,0,0,0,0
19699,18,0,8,16,4,72
5166,0,0,0,0,0,0
1140,0,0,0,0,0,0
19526,4,0,0,0,0,0
4952,0,0,0,0,0,0
23924,48,0,21,102,42,66
15061,23,1,2,9,3,7
23300,15,0,36,64,12,0
18231,234,0,42,6,72,0
7496,132,0,255,1035,0,0
9044,0,0,5,0,0,0
5810,0,0,0,0,0,0
23785,44,0,0,0,0,0
3312,0,0,0,0,0,0
23845,0,0,0,0,0,0
6853,0,0,0,0,0,0
12969,225,0,0,57,0,0
5259,0,0,0,0,0,0
24735,11,0,3,6,6,0
18555,6,0,3,0,9,12
6799,0,0,0,0,0,0
18487,16,0,0,0,0,0
20374,0,0,0,0,0,0
9277,4,0,0,0,0,0
16793,0,0,0,0,0,0
12859,18,0,60,78,6,0
22039,2,0,3,3,0,0
23753,120,0,0,25,0,0
18037,0,0,0,0,0,0
8659,68,0,994,1176,728,182
14049,0,0,0,0,0,0
14471,112,0,312,328,0,0
8927,51,0,72,352,56,96
9190,0,0,8,2,0,0
12239,47,0,42,318,6,0
24428,131,0,27,0,3,0
9008,0,0,4,4,0,0
8891,17,0,2,6,4,2
20994,15,0,0,0,7,6
17713,64,0,0,0,0,0
16297,157,0,144,336,114,276
9219,27,0,16,50,22,6
9866,0,0,2,2,0,0
10270,53,0,0,0,0,0
16285,0,0,0,0,0,0
4182,0,0,0,0,0,0
6610,0,0,0,0,0,0
21686,4,0,0,0,16,6
720,0,0,0,0,0,0
16882,14,0,4,12,4,8
18894,0,0,0,0,44,24
9479,22,0,48,282,84,390
1298,0,0,0,0,0,0
7314,36,0,32,144,0,0
4658,0,0,0,0,0,0
8487,26,0,33,144,9,3
12325,107,0,81,261,36,153
13395,0,0,12,9,6,0
19391,0,0,0,5,0,0
13353,19,2,28,94,26,66
11588,25,0,24,84,32,44
4115,0,0,0,0,0,0
21038,3,0,3,3,2,3
9574,9,0,8,0,8,0
372,0,0,0,0,0,0
7622,1,0,5,6,1,0
1784,0,0,0,0,0,0
12835,35,0,2,24,2,0
20483,0,0,0,0,0,0
9470,66,0,56,154,63,175
2758,0,0,0,0,0,0
9296,25,0,12,56,16,8
24082,27,0,3,6,30,0
13225,22,0,0,6,10,4
16230,29,0,10,20,6,2
3074,0,0,0,0,0,0
14597,84,0,28,192,80,24
16395,0,0,0,0,0,0
14680,0,0,3,4,1,3
8256,18,0,3,4,2,4
12232,22,0,16,16,0,0
10605,0,0,3,0,0,0
1738,0,0,0,0,0,0
6089,0,0,0,0,0,0
11924,677,0,0,0,0,0
20751,1,0,10,28,4,2
8288,8,0,2,7,5,40
1347,0,0,0,0,0,0
21396,0,0,1,3,0,0
20966,3,0,0,0,3,0
18623,386,0,77,143,77,44
12013,247,0,0,0,0,0
1038,0,0,0,0,0,0
11409,0,0,2,0,0,4
7873,15,0,0,0,4,2
13459,0,0,0,0,0,0
1354,0,0,0,0,0,0
4653,0,0,0,0,0,0
12428,0,0,1,0,0,0
8159,8,0,10,14,2,4
14223,0,0,1,0,9,2
20730,0,0,2,0,0,0
13693,0,0,8,4,2,0
22671,5,0,0,0,1,1
28,0,0,0,0,0,0
18220,2,0,3,12,2,1
11138,17,0,4,12,4,4
8788,304,0,792,3528,216,306
659,0,0,0,0,0,0
20287,1,0,0,0,0,0
16602,0,0,0,0,0,0
16984,0,0,0,2,4,0
20180,17,0,12,15,12,45
550,0,0,0,0,0,0
8941,0,0,1,1,1,0
22608,524,0,0,0,432,162
15825,1,0,4,0,0,0
14569,0,0,22,0,0,0
14396,0,0,2,4,2,0
8007,17,0,14,8,12,4
4647,0,0,0,0,0,0
24344,0,0,1,1,2,1
20814,5,0,2,8,1,0
1719,0,0,0,0,0,0
24853,0,0,1,0,0,0
22983,0,0,2,0,1,0
18394,299,0,24,60,6,0
24591,968,0,120,200,1320,680
3038,0,0,0,0,0,0
9786,0,0,4,2,2,2
22605,341,0,32,16,0,0
14573,30,2,17,64,3,4
3235,0,0,0,0,0,0
24628,0,0,1,2,0,0
9966,55,0,0,0,0,0
6095,0,0,0,0,0,0
15521,6,0,21,36,9,6
15851,5,0,6,8,0,0
605,0,0,0,0,0,0
20625,4,0,0,0,4,0
16151,36,0,26,91,52,52
9402,1142,0,0,1276,0,0
20526,0,0,2,4,0,0
541,0,0,0,0,0,0
9813,1,0,0,0,0,0
16660,0,0,0,0,0,0
13335,2,0,0,4,0,0
19247,0,0,5,3,2,1
22703,1,0,1,1,1,0
23913,16,0,0,0,2,0
23294,118,30,54,18,72,78
11397,0,0,1,1,3,1
19301,43,0,6,10,92,92
6738,0,0,0,0,0,0
1441,0,0,0,0,0,0
17025,0,0,10,5,0,0
20300,246,0,12,12,120,204
16903,0,0,9,0,0,0
15159,0,0,0,1,0,2
1364,0,0,0,0,0,0
23390,2,0,2,3,0,0
24876,55,0,12,9,51,15
368,0,0,0,0,0,0
2293,0,0,0,0,0,0
9303,0,0,4,16,0,6
4144,0,0,0,0,0,0
4703,0,0,0,0,0,0
24450,3,0,2,0,0,0
12183,90,0,24,117,39,150
10417,85,0,147,357,322,518
2626,0,0,0,0,0,0
1915,0,0,0,0,0,0
7595,4,0,2,3,4,1
16271,0,0,0,0,0,0
2492,0,0,0,0,0,0
12673,140,0,240,200,330,160
17544,6,0,4,0,0,0
1481,0,0,0,0,0,0
15918,4,0,0,0,3,0
22760,268,0,24,32,96,8
22055,1,0,1,3,0,0
13770,5,0,3,9,1,6
22565,0,0,0,0,0,0
4064,0,0,0,0,0,0
3947,0,0,0,0,0,0
22204,136,0,140,205,25,135
8541,21,0,12,32,6,2
22911,214,0,481,637,78,26
18117,9,0,0,0,0,0
21586,7,0,4,24,3,2
21626,44,0,16,10,2,3
13436,0,0,0,0,0,0
11916,0,0,0,0,0,1
8317,124,0,0,22,0,0
16308,8,0,30,54,0,0
17668,0,0,0,0,0,0
5771,0,0,0,0,0,0
24263,10,0,0,0,0,0
10175,56,0,112,352,0,0
16220,15,24,40,160,0,0
17814,4,1,7,14,3,0
23450,41,6,4,0,2,0
17100,59,0,9,0,162,60
8984,34,0,6,26,16,2
9564,3,0,24,40,0,0
13378,0,0,4,2,0,0
14162,14,0,10,59,6,0
2251,0,0,0,0,0,0
9143,0,0,3,3,0,0
11597,40,0,32,130,10,12
23908,3,0,1,0,0,0
23698,121,0,0,0,45,70
4456,0,0,0,0,0,0
2321,0,0,0,0,0,0
18054,11,0,0,0,0,0
16697,59,0,0,7,0,0
14979,7,0,9,24,9,3
2488,0,0,0,0,0,0
2803,0,0,0,0,0,0
24932,0,0,0,0,0,0
23281,77,0,27,54,9,0
12665,939,0,144,216,0,0
6146,0,0,0,0,0,0
19550,12,0,2,3,1,2
9834,143,7,189,427,140,294
21734,17,0,0,2,4,6
16811,29,0,12,74,8,18
13490,30,1,9,36,10,10
5172,0,0,0,0,0,0
25028,0,0,0,0,0,0
20722,0,0,0,0,0,0
1803,0,0,0,0,0,0
2318,0,0,0,0,0,0
21381,14,0,21,51,3,3
16392,0,0,5,5,0,0
11254,26,0,40,110,20,50
12509,7,0,0,0,0,0
16721,0,0,0,0,0,0
14580,0,0,1,0,0,0
19972,36,0,2,8,0,0
12799,26,1,11,63,29,29
6576,0,0,0,0,0,0
3862,0,0,0,0,0,0
24517,117,0,14,0,0,0
11300,26,0,24,90,18,33
6831,0,0,0,0,0,0
10220,2,0,0,2,0,10
20721,0,0,0,0,0,0
12474,196,0,0,40,440,1080
6289,0,0,0,0,0,0
13358,12,0,32,112,16,0
5614,0,0,0,0,0,0
19510,7,0,2,4,3,0
14646,2,0,2,8,2,0
461,0,0,0,0,0,0
10176,56,0,12,32,96,0
4906,0,0,0,0,0,0
181,0,0,0,0,0,0
7552,0,0,4,0,0,0
1630,0,0,0,0,0,0
8747,253,0,0,0,0,0
5115,0,0,0,0,0,0
9431,28,0,63,168,81,207
9068,13,0,6,18,2,4
13738,0,0,0,0,0,0
24544,0,0,4,7,0,0
5975,0,0,0,0,0,0
6973,0,0,0,0,0,0
11366,5,0,6,4,10,32
14668,49,0,144,640,272,224
10042,5,0,0,0,8,4
14193,1,0,0,4,0,0
21607,0,0,0,0,0,0
17541,0,0,6,36,3,9
4788,0,0,0,0,0,0
22124,0,0,0,0,0,0
18052,3,0,0,0,2,0
23442,89,84,0,0,0,0
18995,0,0,27,42,0,0
9845,11,0,16,10,16,4
8810,22,0,16,44,18,26
2005,0,0,0,0,0,0
18884,0,0,0,0,0,0
22895,75,0,0,0,0,0
18477,4,0,4,18,2,0
24136,0,0,4,0,0,0
4172,0,0,0,0,0,0
24950,14,0,4,0,16,40
7219,44,0,50,145,115,0
67,0,0,0,0,0,0
8360,26,0,36,124,0,0
9999,0,0,12,0,0,0
9400,39,0,0,0,33,24
23465,352,0,112,322,1274,336
15699,3,0,0,0,6,6
1717,0,0,0,0,0,0
10965,21,0,12,38,16,22
7031,84,12,312,384,96,72
7122,4,0,4,5,0,0
7903,88,0,27,81,9,9
25039,0,0,0,0,0,0
10158,5,0,2,16,6,30
6274,0,0,0,0,0,0
8885,84,0,105,510,85,85
15828,0,0,0,0,0,0
14850,3,0,2,3,2,0
16562,72,0,7,0,7,7
11906,1,0,0,0,4,2
20464,0,0,2,4,32,18
21106,50,0,24,96,96,88
4197,0,0,0,0,0,0
8052,0,0,0,0,0,0
21574,0,0,0,0,0,0
8438,0,0,2,6,0,2
2047,0,0,0,0,0,0
19642,1,0,10,0,5,0
7615,16,0,0,0,308,1617
5670,0,0,0,0,0,0
16953,52,0,21,49,42,7
11777,0,0,0,0,0,0
18170,0,0,0,0,0,0
9192,1,0,14,18,2,2
17822,0,0,0,3,0,0
21449,83,0,0,0,749,535
7289,0,0,0,0,0,0
10248,73,10,110,310,0,0
11148,9,0,0,4,4,0
15691,0,0,4,3,1,1
6,0,0,0,0,0,0
22567,591,46,207,322,483,253
20347,0,0,0,0,0,0
8087,38,0,7,49,56,14
9982,0,0,20,16,8,0
5403,0,0,0,0,0,0
11058,8,0,2,12,8,10
19240,8,0,2,0,18,52
7389,2,0,4,4,1,3
16850,58,0,12,6,21,12
18582,74,0,2,4,0,0
9,0,0,0,0,0,0
11628,5,0,30,30,0,0
10086,336,13,39,156,91,13
4887,0,0,0,0,0,0
20323,0,0,1,0,1,1
2963,0,0,0,0,0,0
16636,0,0,0,0,0,0
2112,0,0,0,0,0,0
7768,5,0,36,188,2,0
5112,0,0,0,0,0,0
12096,8,0,1,0,0,0
14218,2,0,0,0,2,0
9522,0,0,0,0,0,4
14106,38,0,4,10,16,36
12776,0,0,2,4,0,0
11931,68,0,0,7,28,0
23389,0,0,0,0,0,0
10334,0,0,60,174,0,18
19571,16,0,0,0,7,3
13920,0,0,0,0,0,0
15156,1514,0,847,1573,0,0
7123,348,74,0,0,0,0
1957,0,0,0,0,0,0
12973,1,0,1,2,0,1
22902,44,0,0,9,0,0
21732,11,0,0,0,0,0
19742,66,0,156,60,276,24
3805,0,0,0,0,0,0
13861,99,0,18,102,0,24
14677,93,0,3,6,0,0
19314,97,0,50,60,140,80
10450,207,0,798,3024,483,1491
18079,0,0,0,0,0,0
18327,108,0,56,91,7,7
24480,0,0,0,0,0,0
19938,1,0,9,15,0,0
7448,16,0,14,30,8,4
22418,0,0,0,0,0,0
17867,0,0,8,16,44,296
8666,0,0,3,6,0,0
14515,0,0,2,0,0,2
23534,0,0,3,2,0,0
3495,0,0,0,0,0,0
21778,12,0,4,0,42,44
13661,4,0,3,0,3,0
24497,6,0,0,0,4,0
15856,0,0,1,1,2,1
2513,0,0,0,0,0,0
18160,39,0,27,54,0,0
13825,235,0,25,70,20,30
20289,199,0,58,319,87,58
2313,0,0,0,0,0,0
1480,0,0,0,0,0,0
9944,97,0,0,90,0,0
18575,0,0,10,20,0,0
9095,47,0,275,995,15,0
4689,0,0,0,0,0,0
16571,81,0,6,9,123,9
20046,186,0,18,36,36,27
22415,0,0,0,0,0,0
23493,1,0,0,2,3,0
7996,32,0,4,4,17,27
6718,0,0,0,0,0,0
6919,0,0,0,0,0,0
15465,16,0,1,0,5,7
17095,29,0,6,24,0,2
14741,145,0,42,108,24,30
14734,0,0,1,0,0,0
14774,2,0,4,8,0,0
3706,0,0,0,0,0,0
5985,0,0,0,0,0,0
6077,0,0,0,0,0,0
18228,2,0,4,4,0,0
1045,0,0,0,0,0,0
4572,0,0,0,0,0,0
17336,2,0,10,24,0,0
11123,1,0,0,0,0,0
8453,23,21,14,84,0,0
10121,78,0,24,9,15,3
12834,62,0,60,36,150,303
12478,0,0,1,1,0,0
10791,88,0,35,70,225,25
12616,49,0,231,847,203,1113
11193,69,0,0,156,0,0
7897,29,0,48,30,51,30
22272,0,0,0,0,0,9
571,0,0,0,0,0,0
1624,0,0,0,0,0,0
1816,0,0,0,0,0,0
9113,0,0,1,0,0,0
6650,0,0,0,0,0,0
24059,144,836,133,57,209,95
12147,43,0,2,2,8,22
3107,0,0,0,0,0,0
21037,0,0,0,0,0,0
14306,6,0,1,5,5,1
8018,0,0,0,0,0,0
19933,9,0,3,0,2,1
6407,0,0,0,0,0,0
16755,61,0,36,288,420,420
18860,0,0,0,0,0,0
10167,53,0,168,469,98,168
12945,83,0,0,15,0,0
5493,0,0,0,0,0,0
10585,392,0,0,270,0,15
16418,4,0,15,30,6,0
13842,12,0,12,30,6,6
16716,733,234,936,2466,0,18
21049,1,0,12,20,4,12
12877,153,0,90,108,90,0
4789,0,0,0,0,0,0
6956,0,0,0,0,0,0
15456,0,0,0,0,4,0
16964,103,0,282,252,216,78
14805,0,0,0,0,0,0
10705,11,0,9,12,2,2
13621,0,0,0,0,0,0
9035,25,0,6,60,3,0
1466,0,0,0,0,0,0
2680,0,0,0,0,0,0
743,0,0,0,0,0,0
10390,0,0,6,0,0,4
20830,20,0,6,32,4,0
3102,0,0,0,0,0,0
21468,3,0,3,3,3,3
19405,8,0,4,16,1,0
18999,9,0,7,13,1,1
14736,14,0,10,14,4,6
13425,3,0,8,7,3,1
20810,10,0,0,0,0,0
3678,0,0,0,0,0,0
4894,0,0,0,0,0,0
5190,0,0,0,0,0,0
10905,2,0,0,4,4,2
8679,17,0,12,40,18,16
22452,0,0,0,0,0,0
13486,7,0,4,8,10,14
13765,511,0,91,221,1222,429
24935,105,0,10,155,25,40
19696,8,0,3,13,6,0
3234,0,0,0,0,0,0
2021,0,0,0,0,0,0
10918,147,0,88,416,0,0
16305,5,0,2,8,2,4
19712,0,0,1,1,0,0
5132,0,0,0,0,0,0
5122,0,0,0,0,0,0
19660,0,0,0,0,0,0
9713,16,0,22,48,10,16
15197,0,0,6,0,0,0
8347,12,0,35,110,20,0
9092,0,0,3,9,0,0
16691,3,0,2,0,6,4
15236,0,0,1,2,0,0
2026,0,0,0,0,0,0
9502,6,0,5,85,0,0
13297,88,0,35,98,7,7
23521,28,0,0,0,0,24
24307,1,0,0,0,0,0
7749,1,0,0,0,0,0
3277,0,0,0,0,0,0
3326,0,0,0,0,0,0
7922,9,0,8,14,2,4
19706,0,0,0,0,0,0
24168,110,0,0,40,0,0
8224,2,0,0,0,0,0
21154,1,0,0,8,0,0
18395,15,0,6,12,18,38
7957,317,0,0,0,0,0
8848,8,0,1,4,3,4
13110,10,0,3,9,4,5
9193,5,0,0,0,2,4
23963,0,0,1,0,1,0
20695,0,0,2,10,13,8
6898,0,0,0,0,0,0
13219,7,0,8,6,6,3
1408,0,0,0,0,0,0
24446,19,0,6,18,7,2
20639,13,0,2,2,4,12
2454,0,0,0,0,0,0
7094,125,0,0,20,0,0
11186,178,0,143,176,275,22
15492,16,0,30,57,57,51
4079,0,0,0,0,0,0
14674,7,0,3,28,1,0
22619,0,0,1,1,0,0
6617,0,0,0,0,0,0
6112,0,0,0,0,0,0
10483,9,0,36,36,20,24
1597,0,0,0,0,0,0
773,0,0,0,0,0,0
13092,16,0,0,0,13,13
16608,295,0,54,108,0,12
2792,0,0,0,0,0,0
12569,51,0,20,45,40,15
20043,11,0,1,0,4,3
17851,1,0,0,0,0,0
3281,0,0,0,0,0,0
5933,0,0,0,0,0,0
16881,9,0,6,4,0,0
24197,2,0,1,0,0,0
18777,0,0,0,0,0,0
14812,2,0,1,1,1,4
10182,0,21,378,1449,0,189
5818,0,0,0,0,0,0
17329,11,0,3,8,2,3
12297,2,0,4,0,4,0
8458,0,0,3,3,0,0
13898,475,0,1292,1292,0,0
936,0,0,0,0,0,0
7269,126,0,98,322,126,7
347,0,0,0,0,0,0
19657,9,0,0,0,0,0
1677,0,0,0,0,0,0
23412,71,0,0,0,0,0
3702,0,0,0,0,0,0
23665,11,0,0,0,0,0
20262,0,0,1,0,0,0
20116,0,0,2,6,0,0
23637,4,0,0,0,4,6
13929,0,0,12,10,0,0
724,0,0,0,0,0,0
17634,21,0,10,12,44,4
9164,30,0,40,156,12,16
22487,11,0,0,4,2,0
17211,0,0,0,0,0,0
8398,5,0,0,3,2,2
6647,0,0,0,0,0,0
5244,0,0,0,0,0,0
9349,33,0,72,180,76,84
1728,0,0,0,0,0,0
21859,0,0,0,0,0,0
1165,0,0,0,0,0,0
24066,0,0,12,6,0,0
11644,0,0,12,42,0,0
15508,5,0,1,4,2,2
6511,0,0,0,0,0,0
2120,0,0,0,0,0,0
8280,133,0,76,216,20,12
8965,0,0,5,9,0,0
21605,28,0,21,27,72,72
2324,0,0,0,0,0,0
18882,34,0,4,32,10,6
17797,180,0,207,396,54,27
24201,8,0,2,0,6,11
3583,0,0,0,0,0,0
5890,0,0,0,0,0,0
16437,8,0,4,2,8,14
23447,0,0,1,0,0,0
18784,10,0,6,10,3,0
6330,0,0,0,0,0,0
10686,0,0,6,26,0,0
15991,976,0,0,0,0,0
5226,0,0,0,0,0,0
5574,0,0,0,0,0,0
12760,3,0,0,0,0,0
14589,0,0,2,2,0,0
10871,17,2,6,4,6,12
10008,0,0,0,0,0,0
12923,532,8,504,504,208,144
24993,0,0,0,0,0,0
2223,0,0,0,0,0,0
9623,0,0,0,0,0,0
11107,43,0,3,3,2,8
12366,0,0,2,3,0,0
7359,3,0,0,4,0,4
390,0,0,0,0,0,0
17106,101,0,144,474,168,108
232,0,0,0,0,0,0
10873,0,0,0,0,0,0
6572,0,0,0,0,0,0
20710,10,0,3,9,2,1
12491,2,0,6,6,4,2
15614,0,0,0,0,0,0
13159,98,0,24,39,21,0
13812,26,0,34,84,56,274
14992,304,0,0,0,0,0
18382,1,0,4,2,1,4
1895,0,0,0,0,0,0
17558,8,0,3,0,15,0
3484,0,0,0,0,0,0
6345,0,0,0,0,0,0
5969,0,0,0,0,0,0
22215,38,0,2,16,24,0
14344,2,0,1,7,0,0
13696,1,0,4,0,0,0
15389,0,0,90,216,0,48
14186,0,0,1,0,0,0
21527,9,0,0,0,21,7
9797,0,0,1,0,0,0
2823,0,0,0,0,0,0
21182,0,0,0,0,0,0
19398,946,0,323,731,323,17
18169,42,0,3,0,135,165
21054,324,0,450,1810,460,130
970,0,0,0,0,0,0
13674,26,0,24,68,16,12
2970,0,0,0,0,0,0
5738,0,0,0,0,0,0
9108,414,30,525,420,75,30
24500,3,0,0,0,0,0
17699,1,0,12,15,0,0
23504,45,0,0,8,0,0
5382,0,0,0,0,0,0
3399,0,0,0,0,0,0
7564,0,0,8,20,5,8
7184,57,11,0,0,33,33
9856,25,0,16,42,12,40
17394,40,0,3,45,0,0
548,0,0,0,0,0,0
20193,62,0,24,50,24,46
10117,101,24,312,840,564,996
13117,306,0,0,0,0,0
24378,0,0,0,6,0,0
20568,526,0,240,50,1000,380
3368,0,0,0,0,0,0
11830,290,0,0,132,0,0
18021,4,0,52,104,13,0
8849,1,0,6,6,6,0
10736,0,0,7,7,4,2
4972,0,0,0,0,0,0
19503,82,0,48,304,80,72
2496,0,0,0,0,0,0
9964,0,0,3,0,0,0
1019,0,0,0,0,0,0
5119,0,0,0,0,0,0
473,0,0,0,0,0,0
15048,715,0,0,0,0,0
22230,13,0,66,209,88,22
12324,76,0,30,145,385,295
10987,21,0,24,69,15,72
1326,0,0,0,0,0,0
2584,0,0,0,0,0,0
6599,0,0,0,0,0,0
7139,0,0,1,2,0,0
14700,1,0,2,0,2,2
19469,22,0,4,18,0,0
2616,0,0,0,0,0,0
8912,0,0,0,0,0,0
4794,0,0,0,0,0,0
7681,12,0,0,64,16,28
2664,0,0,0,0,0,0
7660,30,0,6,14,0,0
7972,62,0,176,216,272,40
18212,25,2,0,0,6,10
21191,15,0,1,0,3,3
23781,69,0,0,0,102,0
16137,3,0,48,28,4,0
1177,0,0,0,0,0,0
11116,259,0,432,1056,528,648
19015,19,0,3,0,3,0
1162,0,0,0,0,0,0
15447,252,0,11,0,0,0
